Pokedex with Leading 0,Pokedex Name,Full Name,Prefix,Name,Suffix,Form,National Pokedex,Deck: 1 - 97,Rename,Regional Pokedex,Type,,Generation,Images pokemondb,Images pokedex,Images bulbapedia
145, Zapdos,Zapdos,,Zapdos,,,145,,145 - Zapdos,145,Electric,Flying,I - Kanto,https://img.pokemondb.net/artwork/large/zapdos.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/145.png,https://bulbapedia.bulbagarden.net/wiki/File:145Zapdos.png
145,Galarian Zapdos,Zapdos Galar,,Zapdos,Galar,,145,,145 - Zapdos Galar,145,Electric,Flying,I - Kanto,https://img.pokemondb.net/artwork/large/zapdos-galar.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/145.png,https://bulbapedia.bulbagarden.net/wiki/File:145Zapdos-Galar.png
223, Remoraid,Remoraid,,Remoraid,,,223,,223 - Remoraid,174,Water,,II - Johto,https://img.pokemondb.net/artwork/large/remoraid.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/223.png,https://bulbapedia.bulbagarden.net/wiki/File:223Remoraid.png
224, Octillery,Octillery,,Octillery,,,224,,224 - Octillery,175,Water,,II - Johto,https://img.pokemondb.net/artwork/large/octillery.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/224.png,https://bulbapedia.bulbagarden.net/wiki/File:224Octillery.png
225, Delibird,Delibird,,Delibird,,,225,,225 - Delibird,194,Ice,Flying,II - Johto,https://img.pokemondb.net/artwork/large/delibird.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/225.png,https://bulbapedia.bulbagarden.net/wiki/File:225Delibird.png
226, Mantine,Mantine,,Mantine,,,226,,226 - Mantine,202,Water,Flying,II - Johto,https://img.pokemondb.net/artwork/large/mantine.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/226.png,https://bulbapedia.bulbagarden.net/wiki/File:226Mantine.png
227, Skarmory,Skarmory,,Skarmory,,,227,,227 - Skarmory,203,Steel,Flying,II - Johto,https://img.pokemondb.net/artwork/large/skarmory.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/227.png,https://bulbapedia.bulbagarden.net/wiki/File:227Skarmory.png
228, Houndour,Houndour,,Houndour,,,228,,228 - Houndour,214,Dark,Fire,II - Johto,https://img.pokemondb.net/artwork/large/houndour.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/228.png,https://bulbapedia.bulbagarden.net/wiki/File:228Houndour.png
229, Houndoom,Houndoom,,Houndoom,,,229,,229 - Houndoom,215,Dark,Fire,II - Johto,https://img.pokemondb.net/artwork/large/houndoom.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/229.png,https://bulbapedia.bulbagarden.net/wiki/File:229Houndoom.png
229,Mega Houndoom,Houndoom Mega,,Houndoom,Mega,,229,,229 - Houndoom Mega,215,Dark,Fire,II - Johto,https://img.pokemondb.net/artwork/large/houndoom-mega.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/229.png,https://bulbapedia.bulbagarden.net/wiki/File:229Houndoom-Mega.png
230, Kingdra,Kingdra,,Kingdra,,,230,,230 - Kingdra,192,Water,Dragon,II - Johto,https://img.pokemondb.net/artwork/large/kingdra.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/230.png,https://bulbapedia.bulbagarden.net/wiki/File:230Kingdra.png
231, Phanpy,Phanpy,,Phanpy,,,231,,231 - Phanpy,200,Ground,,II - Johto,https://img.pokemondb.net/artwork/large/phanpy.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/231.png,https://bulbapedia.bulbagarden.net/wiki/File:231Phanpy.png
232, Donphan,Donphan,,Donphan,,,232,,232 - Donphan,201,Ground,,II - Johto,https://img.pokemondb.net/artwork/large/donphan.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/232.png,https://bulbapedia.bulbagarden.net/wiki/File:232Donphan.png
233, Porygon2,Porygon2,,Porygon2,,,233,,233 - Porygon2,221,Normal,,II - Johto,https://img.pokemondb.net/artwork/large/porygon2.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/233.png,https://bulbapedia.bulbagarden.net/wiki/File:233Porygon2.png
234, Stantler,Stantler,,Stantler,,,234,,234 - Stantler,131,Normal,,II - Johto,https://img.pokemondb.net/artwork/large/stantler.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/234.png,https://bulbapedia.bulbagarden.net/wiki/File:234Stantler.png
235, Smeargle,Smeargle,,Smeargle,,,235,,235 - Smeargle,159,Normal,,II - Johto,https://img.pokemondb.net/artwork/large/smeargle.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/235.png,https://bulbapedia.bulbagarden.net/wiki/File:235Smeargle.png
236, Tyrogue,Tyrogue,,Tyrogue,,,236,,236 - Tyrogue,145,Fighting,,II - Johto,https://img.pokemondb.net/artwork/large/tyrogue.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/236.png,https://bulbapedia.bulbagarden.net/wiki/File:236Tyrogue.png
237, Hitmontop,Hitmontop,,Hitmontop,,,237,,237 - Hitmontop,148,Fighting,,II - Johto,https://img.pokemondb.net/artwork/large/hitmontop.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/237.png,https://bulbapedia.bulbagarden.net/wiki/File:237Hitmontop.png
238, Smoochum,Smoochum,,Smoochum,,,238,,238 - Smoochum,154,Ice,Psychic,II - Johto,https://img.pokemondb.net/artwork/large/smoochum.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/238.png,https://bulbapedia.bulbagarden.net/wiki/File:238Smoochum.png
239, Elekid,Elekid,,Elekid,,,239,,239 - Elekid,156,Electric,,II - Johto,https://img.pokemondb.net/artwork/large/elekid.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/239.png,https://bulbapedia.bulbagarden.net/wiki/File:239Elekid.png
240, Magby,Magby,,Magby,,,240,,240 - Magby,152,Fire,,II - Johto,https://img.pokemondb.net/artwork/large/magby.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/240.png,https://bulbapedia.bulbagarden.net/wiki/File:240Magby.png
241, Miltank,Miltank,,Miltank,,,241,,241 - Miltank,151,Normal,,II - Johto,https://img.pokemondb.net/artwork/large/miltank.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/241.png,https://bulbapedia.bulbagarden.net/wiki/File:241Miltank.png
242, Blissey,Blissey,,Blissey,,,242,x,242 - Blissey,223,Normal,,II - Johto,https://img.pokemondb.net/artwork/large/blissey.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/242.png,https://bulbapedia.bulbagarden.net/wiki/File:242Blissey.png
243, Raikou,Raikou,,Raikou,,,243,,243 - Raikou,243,Electric,,II - Johto,https://img.pokemondb.net/artwork/large/raikou.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/243.png,https://bulbapedia.bulbagarden.net/wiki/File:243Raikou.png
244, Entei,Entei,,Entei,,,244,x,244 - Entei,244,Fire,,II - Johto,https://img.pokemondb.net/artwork/large/entei.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/244.png,https://bulbapedia.bulbagarden.net/wiki/File:244Entei.png
245, Suicune,Suicune,,Suicune,,,245,,245 - Suicune,245,Water,,II - Johto,https://img.pokemondb.net/artwork/large/suicune.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/245.png,https://bulbapedia.bulbagarden.net/wiki/File:245Suicune.png
246, Larvitar,Larvitar,,Larvitar,,,246,x,246 - Larvitar,249,Rock,Ground,II - Johto,https://img.pokemondb.net/artwork/large/larvitar.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/246.png,https://bulbapedia.bulbagarden.net/wiki/File:246Larvitar.png
247, Pupitar,Pupitar,,Pupitar,,,247,x,247 - Pupitar,250,Rock,Ground,II - Johto,https://img.pokemondb.net/artwork/large/pupitar.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/247.png,https://bulbapedia.bulbagarden.net/wiki/File:247Pupitar.png
248, Tyranitar,Tyranitar,,Tyranitar,,,248,x,248 - Tyranitar,251,Rock,Dark,II - Johto,https://img.pokemondb.net/artwork/large/tyranitar.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/248.png,https://bulbapedia.bulbagarden.net/wiki/File:248Tyranitar.png
248,Mega Tyranitar,Tyranitar Mega,,Tyranitar,Mega,,248,x,248 - Tyranitar Mega,251,Rock,Dark,II - Johto,https://img.pokemondb.net/artwork/large/tyranitar-mega.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/248.png,https://bulbapedia.bulbagarden.net/wiki/File:248Tyranitar-Mega.png
249, Lugia,Lugia,,Lugia,,,249,,249 - Lugia,252,Psychic,Flying,II - Johto,https://img.pokemondb.net/artwork/large/lugia.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/249.png,https://bulbapedia.bulbagarden.net/wiki/File:249Lugia.png
250, Ho-Oh,Ho-Oh,,Ho-Oh,,,250,,250 - Ho-Oh,253,Fire,Flying,II - Johto,https://img.pokemondb.net/artwork/large/ho-oh.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/250.png,https://bulbapedia.bulbagarden.net/wiki/File:250Ho-Oh.png
251, Celebi,Celebi,,Celebi,,,251,,251 - Celebi,256,Psychic,Grass,II - Johto,https://img.pokemondb.net/artwork/large/celebi.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/251.png,https://bulbapedia.bulbagarden.net/wiki/File:251Celebi.png
252, Treecko,Treecko,,Treecko,,,252,,252 - Treecko,001,Grass,,III - Hoenn,https://img.pokemondb.net/artwork/large/treecko.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/252.png,https://bulbapedia.bulbagarden.net/wiki/File:252Treecko.png
253, Grovyle,Grovyle,,Grovyle,,,253,,253 - Grovyle,002,Grass,,III - Hoenn,https://img.pokemondb.net/artwork/large/grovyle.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/253.png,https://bulbapedia.bulbagarden.net/wiki/File:253Grovyle.png
254, Sceptile,Sceptile,,Sceptile,,,254,,254 - Sceptile,003,Grass,,III - Hoenn,https://img.pokemondb.net/artwork/large/sceptile.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/254.png,https://bulbapedia.bulbagarden.net/wiki/File:254Sceptile.png
254,Mega Sceptile,Sceptile Mega,,Sceptile,Mega,,254,,254 - Sceptile Mega,003,Grass,Dragon,III - Hoenn,https://img.pokemondb.net/artwork/large/sceptile-mega.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/254.png,https://bulbapedia.bulbagarden.net/wiki/File:254Sceptile-Mega.png
255, Torchic,Torchic,,Torchic,,,255,,255 - Torchic,004,Fire,,III - Hoenn,https://img.pokemondb.net/artwork/large/torchic.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/255.png,https://bulbapedia.bulbagarden.net/wiki/File:255Torchic.png
256, Combusken,Combusken,,Combusken,,,256,,256 - Combusken,005,Fire,Fighting,III - Hoenn,https://img.pokemondb.net/artwork/large/combusken.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/256.png,https://bulbapedia.bulbagarden.net/wiki/File:256Combusken.png
257, Blaziken,Blaziken,,Blaziken,,,257,,257 - Blaziken,006,Fire,Fighting,III - Hoenn,https://img.pokemondb.net/artwork/large/blaziken.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/257.png,https://bulbapedia.bulbagarden.net/wiki/File:257Blaziken.png
257,Mega Blaziken,Blaziken Mega,,Blaziken,Mega,,257,,257 - Blaziken Mega,006,Fire,Fighting,III - Hoenn,https://img.pokemondb.net/artwork/large/blaziken-mega.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/257.png,https://bulbapedia.bulbagarden.net/wiki/File:257Blaziken-Mega.png
258, Mudkip,Mudkip,,Mudkip,,,258,,258 - Mudkip,007,Water,,III - Hoenn,https://img.pokemondb.net/artwork/large/mudkip.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/258.png,https://bulbapedia.bulbagarden.net/wiki/File:258Mudkip.png
259, Marshtomp,Marshtomp,,Marshtomp,,,259,,259 - Marshtomp,008,Water,Ground,III - Hoenn,https://img.pokemondb.net/artwork/large/marshtomp.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/259.png,https://bulbapedia.bulbagarden.net/wiki/File:259Marshtomp.png
260, Swampert,Swampert,,Swampert,,,260,,260 - Swampert,009,Water,Ground,III - Hoenn,https://img.pokemondb.net/artwork/large/swampert.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/260.png,https://bulbapedia.bulbagarden.net/wiki/File:260Swampert.png
260,Mega Swampert,Swampert Mega,,Swampert,Mega,,260,,260 - Swampert Mega,009,Water,Ground,III - Hoenn,https://img.pokemondb.net/artwork/large/swampert-mega.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/260.png,https://bulbapedia.bulbagarden.net/wiki/File:260Swampert-Mega.png
261, Poochyena,Poochyena,,Poochyena,,,261,,261 - Poochyena,010,Dark,,III - Hoenn,https://img.pokemondb.net/artwork/large/poochyena.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/261.png,https://bulbapedia.bulbagarden.net/wiki/File:261Poochyena.png
262, Mightyena,Mightyena,,Mightyena,,,262,,262 - Mightyena,011,Dark,,III - Hoenn,https://img.pokemondb.net/artwork/large/mightyena.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/262.png,https://bulbapedia.bulbagarden.net/wiki/File:262Mightyena.png
263, Zigzagoon,Zigzagoon,,Zigzagoon,,,263,,263 - Zigzagoon,012,Normal,,III - Hoenn,https://img.pokemondb.net/artwork/large/zigzagoon.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/263.png,https://bulbapedia.bulbagarden.net/wiki/File:263Zigzagoon.png
263,Galarian Zigzagoon,Zigzagoon Galar,,Zigzagoon,Galar,,263,,263 - Zigzagoon Galar,012,Dark,Normal,III - Hoenn,https://img.pokemondb.net/artwork/large/zigzagoon-galar.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/263.png,https://bulbapedia.bulbagarden.net/wiki/File:263Zigzagoon-Galar.png
264, Linoone,Linoone,,Linoone,,,264,,264 - Linoone,013,Normal,,III - Hoenn,https://img.pokemondb.net/artwork/large/linoone.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/264.png,https://bulbapedia.bulbagarden.net/wiki/File:264Linoone.png
264,Galarian Linoone,Linoone Galar,,Linoone,Galar,,264,,264 - Linoone Galar,013,Dark,Normal,III - Hoenn,https://img.pokemondb.net/artwork/large/linoone-galar.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/264.png,https://bulbapedia.bulbagarden.net/wiki/File:264Linoone-Galar.png
265, Wurmple,Wurmple,,Wurmple,,,265,,265 - Wurmple,014,Bug,,III - Hoenn,https://img.pokemondb.net/artwork/large/wurmple.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/265.png,https://bulbapedia.bulbagarden.net/wiki/File:265Wurmple.png
266, Silcoon,Silcoon,,Silcoon,,,266,,266 - Silcoon,015,Bug,,III - Hoenn,https://img.pokemondb.net/artwork/large/silcoon.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/266.png,https://bulbapedia.bulbagarden.net/wiki/File:266Silcoon.png
267, Beautifly,Beautifly,,Beautifly,,,267,,267 - Beautifly,016,Bug,Flying,III - Hoenn,https://img.pokemondb.net/artwork/large/beautifly.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/267.png,https://bulbapedia.bulbagarden.net/wiki/File:267Beautifly.png
268, Cascoon,Cascoon,,Cascoon,,,268,,268 - Cascoon,017,Bug,,III - Hoenn,https://img.pokemondb.net/artwork/large/cascoon.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/268.png,https://bulbapedia.bulbagarden.net/wiki/File:268Cascoon.png
269, Dustox,Dustox,,Dustox,,,269,,269 - Dustox,018,Bug,Poison,III - Hoenn,https://img.pokemondb.net/artwork/large/dustox.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/269.png,https://bulbapedia.bulbagarden.net/wiki/File:269Dustox.png
270, Lotad,Lotad,,Lotad,,,270,,270 - Lotad,019,Water,Grass,III - Hoenn,https://img.pokemondb.net/artwork/large/lotad.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/270.png,https://bulbapedia.bulbagarden.net/wiki/File:270Lotad.png
271, Lombre,Lombre,,Lombre,,,271,,271 - Lombre,020,Water,Grass,III - Hoenn,https://img.pokemondb.net/artwork/large/lombre.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/271.png,https://bulbapedia.bulbagarden.net/wiki/File:271Lombre.png
272, Ludicolo,Ludicolo,,Ludicolo,,,272,,272 - Ludicolo,021,Water,Grass,III - Hoenn,https://img.pokemondb.net/artwork/large/ludicolo.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/272.png,https://bulbapedia.bulbagarden.net/wiki/File:272Ludicolo.png
273, Seedot,Seedot,,Seedot,,,273,,273 - Seedot,022,Grass,,III - Hoenn,https://img.pokemondb.net/artwork/large/seedot.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/273.png,https://bulbapedia.bulbagarden.net/wiki/File:273Seedot.png
274, Nuzleaf,Nuzleaf,,Nuzleaf,,,274,,274 - Nuzleaf,023,Grass,Dark,III - Hoenn,https://img.pokemondb.net/artwork/large/nuzleaf.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/274.png,https://bulbapedia.bulbagarden.net/wiki/File:274Nuzleaf.png
275, Shiftry,Shiftry,,Shiftry,,,275,,275 - Shiftry,024,Grass,Dark,III - Hoenn,https://img.pokemondb.net/artwork/large/shiftry.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/275.png,https://bulbapedia.bulbagarden.net/wiki/File:275Shiftry.png
276, Taillow,Taillow,,Taillow,,,276,,276 - Taillow,025,Normal,Flying,III - Hoenn,https://img.pokemondb.net/artwork/large/taillow.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/276.png,https://bulbapedia.bulbagarden.net/wiki/File:276Taillow.png
277, Swellow,Swellow,,Swellow,,,277,,277 - Swellow,026,Normal,Flying,III - Hoenn,https://img.pokemondb.net/artwork/large/swellow.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/277.png,https://bulbapedia.bulbagarden.net/wiki/File:277Swellow.png
278, Wingull,Wingull,,Wingull,,,278,,278 - Wingull,027,Water,Flying,III - Hoenn,https://img.pokemondb.net/artwork/large/wingull.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/278.png,https://bulbapedia.bulbagarden.net/wiki/File:278Wingull.png
279, Pelipper,Pelipper,,Pelipper,,,279,,279 - Pelipper,028,Water,Flying,III - Hoenn,https://img.pokemondb.net/artwork/large/pelipper.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/279.png,https://bulbapedia.bulbagarden.net/wiki/File:279Pelipper.png
280, Ralts,Ralts,,Ralts,,,280,,280 - Ralts,029,Psychic,Fairy,III - Hoenn,https://img.pokemondb.net/artwork/large/ralts.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/280.png,https://bulbapedia.bulbagarden.net/wiki/File:280Ralts.png
281, Kirlia,Kirlia,,Kirlia,,,281,,281 - Kirlia,030,Psychic,Fairy,III - Hoenn,https://img.pokemondb.net/artwork/large/kirlia.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/281.png,https://bulbapedia.bulbagarden.net/wiki/File:281Kirlia.png
282, Gardevoir,Gardevoir,,Gardevoir,,,282,,282 - Gardevoir,031,Psychic,Fairy,III - Hoenn,https://img.pokemondb.net/artwork/large/gardevoir.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/282.png,https://bulbapedia.bulbagarden.net/wiki/File:282Gardevoir.png
282,Mega Gardevoir,Gardevoir Mega,,Gardevoir,Mega,,282,,282 - Gardevoir Mega,031,Psychic,Fairy,III - Hoenn,https://img.pokemondb.net/artwork/large/gardevoir-mega.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/282.png,https://bulbapedia.bulbagarden.net/wiki/File:282Gardevoir-Mega.png
283, Surskit,Surskit,,Surskit,,,283,,283 - Surskit,032,Bug,Water,III - Hoenn,https://img.pokemondb.net/artwork/large/surskit.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/283.png,https://bulbapedia.bulbagarden.net/wiki/File:283Surskit.png
284, Masquerain,Masquerain,,Masquerain,,,284,,284 - Masquerain,033,Bug,Flying,III - Hoenn,https://img.pokemondb.net/artwork/large/masquerain.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/284.png,https://bulbapedia.bulbagarden.net/wiki/File:284Masquerain.png
285, Shroomish,Shroomish,,Shroomish,,,285,,285 - Shroomish,034,Grass,,III - Hoenn,https://img.pokemondb.net/artwork/large/shroomish.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/285.png,https://bulbapedia.bulbagarden.net/wiki/File:285Shroomish.png
286, Breloom,Breloom,,Breloom,,,286,,286 - Breloom,035,Grass,Fighting,III - Hoenn,https://img.pokemondb.net/artwork/large/breloom.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/286.png,https://bulbapedia.bulbagarden.net/wiki/File:286Breloom.png
287, Slakoth,Slakoth,,Slakoth,,,287,,287 - Slakoth,036,Normal,,III - Hoenn,https://img.pokemondb.net/artwork/large/slakoth.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/287.png,https://bulbapedia.bulbagarden.net/wiki/File:287Slakoth.png
288, Vigoroth,Vigoroth,,Vigoroth,,,288,,288 - Vigoroth,037,Normal,,III - Hoenn,https://img.pokemondb.net/artwork/large/vigoroth.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/288.png,https://bulbapedia.bulbagarden.net/wiki/File:288Vigoroth.png
289, Slaking,Slaking,,Slaking,,,289,,289 - Slaking,038,Normal,,III - Hoenn,https://img.pokemondb.net/artwork/large/slaking.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/289.png,https://bulbapedia.bulbagarden.net/wiki/File:289Slaking.png
290, Nincada,Nincada,,Nincada,,,290,,290 - Nincada,042,Bug,Ground,III - Hoenn,https://img.pokemondb.net/artwork/large/nincada.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/290.png,https://bulbapedia.bulbagarden.net/wiki/File:290Nincada.png
291, Ninjask,Ninjask,,Ninjask,,,291,,291 - Ninjask,043,Bug,Flying,III - Hoenn,https://img.pokemondb.net/artwork/large/ninjask.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/291.png,https://bulbapedia.bulbagarden.net/wiki/File:291Ninjask.png
292, Shedinja,Shedinja,,Shedinja,,,292,,292 - Shedinja,044,Bug,Ghost,III - Hoenn,https://img.pokemondb.net/artwork/large/shedinja.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/292.png,https://bulbapedia.bulbagarden.net/wiki/File:292Shedinja.png
293, Whismur,Whismur,,Whismur,,,293,,293 - Whismur,045,Normal,,III - Hoenn,https://img.pokemondb.net/artwork/large/whismur.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/293.png,https://bulbapedia.bulbagarden.net/wiki/File:293Whismur.png
294, Loudred,Loudred,,Loudred,,,294,,294 - Loudred,046,Normal,,III - Hoenn,https://img.pokemondb.net/artwork/large/loudred.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/294.png,https://bulbapedia.bulbagarden.net/wiki/File:294Loudred.png
295, Exploud,Exploud,,Exploud,,,295,,295 - Exploud,047,Normal,,III - Hoenn,https://img.pokemondb.net/artwork/large/exploud.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/295.png,https://bulbapedia.bulbagarden.net/wiki/File:295Exploud.png
296, Makuhita,Makuhita,,Makuhita,,,296,,296 - Makuhita,048,Fighting,,III - Hoenn,https://img.pokemondb.net/artwork/large/makuhita.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/296.png,https://bulbapedia.bulbagarden.net/wiki/File:296Makuhita.png
297, Hariyama,Hariyama,,Hariyama,,,297,,297 - Hariyama,049,Fighting,,III - Hoenn,https://img.pokemondb.net/artwork/large/hariyama.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/297.png,https://bulbapedia.bulbagarden.net/wiki/File:297Hariyama.png
298, Azurill,Azurill,,Azurill,,,298,,298 - Azurill,054,Normal,Fairy,III - Hoenn,https://img.pokemondb.net/artwork/large/azurill.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/298.png,https://bulbapedia.bulbagarden.net/wiki/File:298Azurill.png
299, Nosepass,Nosepass,,Nosepass,,,299,,299 - Nosepass,060,Rock,,III - Hoenn,https://img.pokemondb.net/artwork/large/nosepass.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/299.png,https://bulbapedia.bulbagarden.net/wiki/File:299Nosepass.png
300, Skitty,Skitty,,Skitty,,,300,,300 - Skitty,061,Normal,,III - Hoenn,https://img.pokemondb.net/artwork/large/skitty.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/300.png,https://bulbapedia.bulbagarden.net/wiki/File:300Skitty.png
301, Delcatty,Delcatty,,Delcatty,,,301,,301 - Delcatty,062,Normal,,III - Hoenn,https://img.pokemondb.net/artwork/large/delcatty.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/301.png,https://bulbapedia.bulbagarden.net/wiki/File:301Delcatty.png
302, Sableye,Sableye,,Sableye,,,302,,302 - Sableye,068,Dark,Ghost,III - Hoenn,https://img.pokemondb.net/artwork/large/sableye.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/302.png,https://bulbapedia.bulbagarden.net/wiki/File:302Sableye.png
302,Mega Sableye,Sableye Mega,,Sableye,Mega,,302,,302 - Sableye Mega,068,Dark,Ghost,III - Hoenn,https://img.pokemondb.net/artwork/large/sableye-mega.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/302.png,https://bulbapedia.bulbagarden.net/wiki/File:302Sableye-Mega.png
303, Mawile,Mawile,,Mawile,,,303,,303 - Mawile,069,Steel,Fairy,III - Hoenn,https://img.pokemondb.net/artwork/large/mawile.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/303.png,https://bulbapedia.bulbagarden.net/wiki/File:303Mawile.png
303,Mega Mawile,Mawile Mega,,Mawile,Mega,,303,,303 - Mawile Mega,069,Steel,Fairy,III - Hoenn,https://img.pokemondb.net/artwork/large/mawile-mega.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/303.png,https://bulbapedia.bulbagarden.net/wiki/File:303Mawile-Mega.png
304, Aron,Aron,,Aron,,,304,,304 - Aron,070,Steel,Rock,III - Hoenn,https://img.pokemondb.net/artwork/large/aron.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/304.png,https://bulbapedia.bulbagarden.net/wiki/File:304Aron.png
305, Lairon,Lairon,,Lairon,,,305,,305 - Lairon,071,Steel,Rock,III - Hoenn,https://img.pokemondb.net/artwork/large/lairon.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/305.png,https://bulbapedia.bulbagarden.net/wiki/File:305Lairon.png
306, Aggron,Aggron,,Aggron,,,306,,306 - Aggron,072,Steel,Rock,III - Hoenn,https://img.pokemondb.net/artwork/large/aggron.jpg,https://assets.pokemon.com/assets/cms2/img/pokedex/full/306.png,https://bulbapedia.bulbagarden.net/wiki/File:306Aggron.png
